Annee,Score,Metascore,Genre,Revenu,Votes
1999,6.4,57,1,126.94,171943
2014,6.4,61,1,126.66,388048
2016,6.3,44,1,126.64,143438
2007,6.1,54,3,126.63,123007
1993,6.8,72,5,126.53,140459
2012,7,64,2,126.48,526640
2012,6.8,52,1,126.37,186939
2002,5.8,24,5,126.29,123626
1998,8.1,90,5,125.62,803859
2000,7.3,73,4,125.6,153447
2004,6.5,58,6,125.54,322800
1997,6.5,52,1,125.33,164361
2009,6.6,49,1,125.32,313432
2000,5.5,52,1,125.31,159392
2013,7.5,60,1,125.1,239153
2016,7.5,74,4,125.07,187403
1982,6.8,57,7,125.05,147736
2012,6.8,43,7,125.01,168544
2012,7.9,79,2,124.99,515029
2014,7.7,69,7,124.87,302534
2009,7,66,3,124.87,178631
2006,6.9,62,5,124.74,327174
2003,6.7,66,5,124.73,100759
2000,7.6,86,6,124.12,183204
1996,7,72,5,124.06,70227
1987,7.3,67,4,123.92,113086
2011,7.2,75,3,123.48,209239
2015,6.7,66,3,123.09,87836
2013,5.8,41,1,122.52,162478
1994,6.9,74,1,122.19,78912
1990,7.6,58,1,122.01,160161
1992,6.2,39,7,121.95,104534
1992,7,57,5,121.7,128348
2002,7.9,68,1,121.66,463379
2007,7.6,76,5,121.46,470567
1994,7.2,78,1,121.25,293508
2004,6.8,48,5,120.91,296289
1998,7.6,71,3,120.62,211368
2009,8.3,69,2,120.54,1072040
2003,7.3,72,7,120.28,62095
2004,6.1,35,1,120.18,223232
2008,5.7,41,5,120.15,55448
2007,6,37,5,120.06,130866
1994,6.9,56,5,119.94,303852
2013,6.4,59,3,119.79,77474
1991,6.7,52,2,119.65,207313
2005,7.9,72,4,119.52,207186
1974,7.8,73,5,119.5,112018
1990,7.5,57,1,119.39,270775
2010,6.7,64,1,119.22,214911
2002,6.4,45,1,118.91,94831
2007,6.7,81,5,118.87,109847
2006,5.8,45,5,118.7,113363
2004,6.8,62,2,118.63,180306
2007,6.3,64,5,118.59,143606
1989,7.8,57,2,118.5,406374
2010,6.4,65,1,118.31,271514
1992,6.9,41,7,117.73,151951
2013,7.3,50,6,117.72,535029
2000,5.1,33,1,117.56,74230
1990,7.1,67,1,117.54,303538
2011,6.9,57,5,117.54,390175
1976,8.1,70,7,117.24,454014
2007,6.9,62,6,117.15,289806
2018,5.6,46,11,117.15,49650
2003,6,45,1,116.93,129191
2013,8.2,75,4,116.9,983338
1999,6.4,40,6,116.74,63931
2002,7.1,77,7,116.72,219951
2013,7.2,66,4,116.63,100053
2011,5.5,39,1,116.6,246702
1999,7.1,66,5,116.09,235221
1998,6.6,57,5,115.82,172561
2007,5.2,35,1,115.8,204030
2009,7.9,81,15,115.65,590110
2000,7.8,48,4,115.65,179948
2014,7.2,59,4,115.64,126054
1986,6,55,1,115.1,63530
1973,7.5,97,5,115,72491
1988,7.3,73,5,114.97,172748
2017,4.6,33,7,114.38,75990
2004,6.7,55,5,114.33,207765
2004,6.5,44,7,114.2,219686
2008,6.9,67,3,114.05,168278
1999,4.9,38,1,113.81,141708
2014,6.2,47,2,113.75,86816
2012,6.1,72,5,113.72,120930
1991,6.9,57,5,113.5,110934
2000,7.2,63,1,113.33,231288
2016,6.2,60,5,113.26,94991
2012,6.7,61,1,113.2,261994
2005,5.6,30,1,113.09,77700
2009,6.6,57,5,112.74,78389
2001,5.5,71,1,112.72,96190
1989,6.5,56,1,112.49,161881
1997,7.3,82,1,112.23,317159
2013,5.8,30,5,112.2,260725
1975,8.7,80,7,112,799024
1988,6,53,5,111.94,99962
1965,8,69,7,111.72,62532
1998,7.3,67,1,111.55,208678
1989,7.6,88,3,111.54,203422
2014,6.8,59,3,111.51,55520
2003,7.7,55,1,111.11,359662
2015,7,75,1,110.83,207767
2008,7,71,1,110.52,343513
2010,5.7,34,5,110.49,104372
2004,5.9,49,11,110.36,128471
2005,6.1,47,5,110.33,122378
2003,6.2,70,5,110.23,111626
2015,6.2,75,5,110.21,118321
2008,6.1,33,5,110.1,80153
2003,5.5,49,5,110,124750
2015,7.6,82,7,109.77,203486
1986,7.3,71,2,109.71,70286
2005,7.1,73,5,109.45,351699
1988,5.5,41,1,109.31,48931
2009,5.5,23,5,109.21,92122
1996,7.4,54,6,108.77,115523
2001,7.7,74,7,108.64,329793
1995,6.3,45,2,108.39,182042
2001,6.3,52,5,108.25,111793
1980,6.8,87,1,108.19,87893
1994,8.9,94,6,107.93,1570194
2007,6.3,68,11,107.92,204005
2017,7.6,86,1,107.83,330580
1992,7.2,67,5,107.53,81548
2013,6.7,52,3,107.52,93593
2009,7.6,56,1,107.51,440466
2016,6.3,43,3,107.51,66732
1997,3.7,28,1,107.33,212234
2013,7.8,83,4,107.1,375852
2010,8,79,7,106.95,627692
1999,6.7,61,5,106.89,135277
2000,7,88,3,106.83,158773
2000,6.2,43,1,106.81,161860
1993,5.9,35,7,106.61,55166
1995,7.2,65,1,106.6,217796
1989,7.4,81,7,106.59,85763
2014,6.2,48,1,106.58,255181
1979,7.8,77,7,106.26,114096
2003,7,68,1,106.13,314968
2003,6.4,45,5,105.81,183763
2010,6.7,53,1,105.27,234091
1994,7.6,59,7,105.26,267706
1997,5.4,53,1,105.26,63403
1967,8,77,5,104.95,232349
1996,6.4,41,7,104.64,69523
2003,6.3,43,5,104.57,178477
2002,7.7,72,6,104.45,223378
2009,7.1,73,3,104.4,104827
2010,6.3,53,2,104.39,123842
2003,5.5,39,5,104.3,56603
2011,5.8,59,11,104.01,84053
2012,5.8,41,1,103.86,80331
2012,7.3,57,3,103.41,140635
2006,6.5,76,7,103.37,62974
2016,5.2,32,1,103.14,149445
2010,6.5,45,1,103.07,300642
1996,7.2,65,11,103.05,253434
2011,6.4,33,5,103.03,195069
1978,5.7,51,2,102.92,61192
2017,6.5,52,6,102.83,161605
1942,7.3,91,3,102.8,112324
2004,7.5,77,4,102.61,299257
1999,7,58,5,102.56,344763
2003,5.3,42,1,102.54,193596
2011,7.8,71,6,102.52,375842
2008,5.2,31,1,102.49,136072
2016,7.4,65,11,102.47,179888
2014,6.8,57,1,102.43,374276
1993,7.2,74,1,102.31,82487
1969,8.1,66,4,102.31,181220
1964,7.8,88,5,102.27,128355
2017,6.5,62,11,102.09,80414
2013,6.5,54,5,102,84354
2013,6.9,65,1,101.8,433774
2008,5.8,57,1,101.7,101089
2000,6.5,35,1,101.65,240278
1994,7,62,1,101.63,92523
2014,7.2,57,1,101.53,283539
2013,6.6,67,5,101.47,351249
1997,6.1,63,11,101.36,140555
1996,6.1,56,1,101.3,94413
1998,7.1,64,3,101.22,104801
2014,5.8,68,1,101.2,222948
1992,8.2,85,7,101.16,328650
1997,6.8,52,1,101.12,250504
2008,6.6,43,1,101.11,163954
1999,7.4,65,9,101.07,298615
2004,7.5,71,6,101.01,327435
1997,7.4,62,7,100.92,229142
2003,4.9,48,1,100.83,110309
1993,6.6,50,6,100.77,67641
2001,6.9,45,9,100.61,228908
2016,7.9,81,7,100.55,476502
2010,6.6,51,2,100.54,297521
2004,8.1,86,7,100.49,568459
1995,6.9,39,2,100.48,258941
2008,6.9,51,5,100.47,239007
2007,5.4,37,5,100.46,127532
1995,6.1,49,5,100.33,102667
1998,7.1,87,5,100.32,196439
2011,5.6,47,5,100.29,176936
2011,6,50,1,100.24,191632
2017,6.8,44,1,100.23,207404
2014,7.9,71,1,100.21,525439
1995,8.6,65,6,100.13,1229411
2008,5.5,54,5,100.02,173130
1995,7.6,58,1,100.01,332067
2016,7,41,7,100.01,287733
2011,6,53,3,99.97,48245
2018,6.2,45,1,99.35,89747
1997,7.3,74,3,99.05,173790
2013,6.5,41,1,98.93,229354
2011,5.8,39,1,98.78,146352
2010,6.3,56,5,98.71,141237
1985,7.8,78,7,98.47,69497
2007,6.9,61,3,97.82,77443
2008,6.8,46,5,97.69,302765
2016,6.2,66,3,97.66,151887
2009,7,70,4,97.1,255301
2010,7.7,95,4,96.96,552602
2001,7.6,74,11,96.52,305795
2001,6.2,59,5,96.52,156588
2002,6.8,65,6,96.4,231008
1993,8.9,93,4,96.07,1038237
1989,8.1,79,5,95.86,348560
2012,7.4,95,7,95.72,243453
2007,4,27,5,95.67,60675
